x	I	R	a	n	L	aE
101.861	1.19719e+016	0.426832	1.19719e+016	0.400532	3.68802	1.4574e+017
101.576	1.20611e+016	0.398623	1.20611e+016	0.420992	3.42016	1.47237e+017
101.293	1.22079e+016	0.37325	1.22079e+016	0.441191	3.16828	1.49445e+017
101.012	1.24319e+016	0.350872	1.24319e+016	0.461173	2.93318	1.52612e+017
100.732	1.27511e+016	0.332019	1.27511e+016	0.480654	2.71831	1.56965e+017
100.454	1.31859e+016	0.317445	1.31859e+016	0.499173	2.52624	1.62767e+017
100.177	1.37604e+016	0.308688	1.37604e+016	0.515614	2.36182	1.70328e+017
99.9017	1.4468e+016	0.307582	1.4468e+016	0.528064	2.23279	1.7958e+017
99.628	1.52477e+016	0.314919	1.52477e+016	0.534664	2.14454	1.89777e+017
99.3558	1.59892e+016	0.329219	1.59892e+016	0.534862	2.09682	1.99552e+017
99.0851	1.65922e+016	0.346723	1.65922e+016	0.530268	2.08149	2.07643e+017
98.8158	1.70276e+016	0.363937	1.70276e+016	0.523324	2.08723	2.13673e+017
98.548	1.73071e+016	0.378977	1.73071e+016	0.515642	2.1069	2.17771e+017
98.2817	1.74444e+016	0.390256	1.74444e+016	0.508532	2.1351	2.20092e+017
98.0167	1.74789e+016	0.396898	1.74789e+016	0.503211	2.16374	2.21123e+017
97.7533	1.74658e+016	0.399805	1.74658e+016	0.499895	2.18698	2.21554e+017
97.4912	1.74371e+016	0.400317	1.74371e+016	0.498114	2.20399	2.21784e+017
97.2305	1.74072e+016	0.39929	1.74072e+016	0.497483	2.21511	2.21998e+017
96.9712	1.73861e+016	0.397457	1.73861e+016	0.497631	2.22113	2.22321e+017
96.7133	1.73755e+016	0.395331	1.73755e+016	0.498207	2.22369	2.22779e+017
96.4568	1.73744e+016	0.393151	1.73744e+016	0.499006	2.22402	2.23356e+017
96.2016	1.73835e+016	0.391193	1.73835e+016	0.499834	2.22309	2.24066e+017
95.9478	1.7399e+016	0.389852	1.7399e+016	0.500311	2.22341	2.24859e+017
95.6953	1.73995e+016	0.388921	1.73995e+016	0.500213	2.22833	2.25459e+017
95.4441	1.73629e+016	0.387617	1.73629e+016	0.499748	2.23884	2.25577e+017
